n-gram,size
parekereke,1
pareora,1
paritutu,1
pate,1
patea,1
petero,1
pirika,1
poananga,1
pongia,1
pukekawa,1
purewa,1
raimi,1
rakahura,1
rakaumanga,1
rakiura maori,2
ramahana,1
rana waitai,2
rapaki,1
rapira,1
rato,1
reina,1
reka,1
renate,1
retaruke,1
rewa,1
roni,1
rui,1
taika,1
tairakena,1
tamarua,1
tariana,1
tariki,1
tatiana,1
tauherenikau,1
taupiri,1
te kahi,2
te mana,2
te puku o te whenua,5
te tai hauauru,3
te uku,2
te waka huruhurumanu ki otautahi,5
tenana,1
terei,1
tiara,1
tingate,1
tirakatene,1
tirau,1
titoki,1
tokaanu,1
tokoriki,1
tuapawa,1
tuku,1
tuturau,1
wahanui,1
waihape,1
waiho,1
waimarama,1
waimatua,1
waitahanui,1
waitangi marae,2
waitikiri,1
waititi,1
whoopi,1
wipa,1
wipo,1
witi ihimaera,2
ihaka,1
kaha mai,2
kahurangi maori,2
manurewa marae,2
maori matariki,2
matakokiri,1
matamua,1
matariki wananga-a-kai,2
matariki-oke,1
matariki-puanga,1
matauranga maori,2
mato,1
monga,1
nga taonga taakaro,3
paitangi,1
peke-taiaroa,1
puanga whanganui,2
pukaea,1
rehua,1
roana,1
tane mahuta,2
tautoru,1
te awarua,2
te kaupoi,2
toetoe,1
tuakana-teina,1
tupu,1
turapa,1
waipoua,1
wikohika,1
horopito,1
matauranga,1
pikopiko,1
te kura o kokohuia,4
te taiwhenua o heretaunga,4
awa,1
raranga,1
ruaumoko,1
te arawa maori,3
waiata maori,2
whakairo,1
apopo,1
hinurewa,1
kina te reo,3
maia mihaka,2
maimoa,1
maipi,1
make te reo,3
merito,1
morena,1
ngahihi-o-te-ra,1
ngati pikiao,2
papakainga,1
paraone,1
puhikura,1
puku,1
taiopenga,1
take te reo,3
tamaiti,1
tangihanga,1
tauranga te reo,3
te ao maori,3
te kohe,2
te pumautanga o te arawa,5
te reo tauranga,3
te wiki o te reo,5
toa tiaki taiao,3
toki,1
waiaroha,1
wainohu,1
whaitaima te whare,3
hape,1
hato petera,2
hongi,1
katene,1
koromiko,1
maketu,1
omapere,1
parua,1
rangimarie,1
tepapa,1
maioha,1
maunu,1
mitai,1
ngati wai,2
raukura,1
taipari,1
apanui,1
kawa,1
koroua,1
otumoetai,1
ruakaka,1
tamai,1
te kura kaupapa maori,4
tongia,1
wairua,1
waiwhetu marae,2
akoranga,1
amie,1
ariki,1
kohatu,1
maori taonga,2
ngatai,1
pataka,1
perenara,1
roimata,1
taki rua,2
tauhara,1
te atairangikaahu,2
uri,1
ama,1
amorangi,1
arapeta,1
hari,1
horomia,1
kaimoana,1
kamo,1
katerina,1
kohu,1
maanu,1
maori whanau,2
me to take,3
omokoroa,1
raro,1
re-route,1
ruatoria,1
timoti karetu,2
tuahine,1
aharoni,1
ahau tupou,2
ahipara,1
ahu,1
akarana,1
akatarawa,1
amaka,1
amano,1
amituanai,1
anamari,1
ani,1
aperahama,1
arahina,1
arawa,1
arohata,1
ata,1
atiamuri,1
atiwhakatu,1
awarua runanga,2
emanate,1
eno,1
haami,1
hamo,1
haruru,1
hauroko,1
hautaki,1
he huarahi tamariki,3
hei hei,2
heine,1
hepi,1
here to make,3
hetaraka,1
hikoikoi,1
hikuwai,1
hope to make,3
hopuhopu,1
iaea,1
ikamatua,1
ima,1
inu,1
ipu,1
iwate,1
kaimai,1
kaituna,1
kaiuma,1
kakanui,1
kamaru,1
kanamaru,1
kangapiro,1
kanuka,1
kapi-mana,1
kaponga,1
kapuka,1
karetai,1
kawanatanga,1
kawiti,1
kingipotiki,1
kiwitea,1
koi,1
konini,1
koreana,1
kotara,1
kowhiria,1
kumototo,1
kumuka,1
kumutoto,1
kurutai,1
maere,1
mahinarangi,1
mahuru,1
makoto,1
mana pounamu,2
manakau,1
manawatu-rangitikei,1
mangatawhiri,1
mapara,1
maraetai,1
maraetotara,1
maraora,1
marita,1
matakana,1
matakanui,1
matangi tonga,2
maungamanu kaikoura,2
maurie,1
me to make,3
mei whaitiri,2
mimihau,1
moerewa,1
moimoi,1
monotone,1
motor-home,1
moutere,1
muritai,1
mutate,1
nahona,1
naomie,1
nepata,1
neuro,1
ngahina,1
ngai tahu maori,3
ngakawau,1
ngaruroro,1
ngati koata,2
ngati ranana,2
ngati tama whiti,3
ngati toa kaumatua,3
ohiro,1
ohiwa,1
okuku,1
one where he,3
onekawa,1
opuha,1
orari,1
oratia,1
otaihanga,1
oteramika,1
ouruhia,1
outa,1
pakau,1
paparangi,1
papatotara,1
pare,1
pehi te whare,3
perawiti,1
peri,1
piko,1
pomona,1
ponga,1
pouaka,1
pourere,1
puataua,1
pukerau,1
rahiri,1
raina,1
rangimoana,1
rangitaiki,1
rapatini,1
rarakau,1
rarangi,1
rau,1
rehua marae,2
renato,1
reporoa,1
repute,1
rewita,1
rikiti,1
rimi,1
romano,1
rongonui,1
rorani,1
rote,1
rotoaira,1
rotopiko,1
ruakura,1
ruataniwha,1
ruka,1
ruru,1
tae,1
tahere,1
tahi,1
taia,1
tainui maori,2
tairi,1
tamahine,1
tamaira,1
tanaka,1
tapea,1
tarawhiti,1
taruna,1
tato,1
tauira kapea,2
taumoepeau,1
te au miro,3
te heu heu,3
te huna,2
te kooti,2
te kope,2
te kopi,2
te oka,2
te omanga,2
te patu,2
te raukura,2
te tawharau,2
te teko,2
te wae wae,3
te whaea,2
tehau pohio,2
temepara,1
tihaka,1
tiromoana,1
titi,1
toe-to-toe,1
tokorangi,1
toopi,1
topi,1
topia,1
toto,1
tuakau,1
tuaputa,1
tukuitonga,1
tumaru,1
tupe,1
turua,1
urawee naree,2
urinate,1
wai-iti,1
waiana,1
waihinahina,1
waikaraka,1
waimahaka,1
waiorau,1
waipa,1
waipounamu,1
wairaki,1
wairepo,1
waitane,1
waitohi,1
waiwhetu maori,2
waka te raukura,3
wakitipu,1
wanganui maori,2
wangapeka,1
wanoa,1
weepu,1
wetere,1
whaitiri,1
wharawhara,1
whetu tirikatene,2
wineera,1
aratoi,1
awhi tapu,2
hakari,1
hei matau,2
hekenukumai,1
heketa,1
heru,1
hita,1
hui-a,1
ihirangi heke,2
kahutara,1
kaumatua kapa haka,3
ki-o-rahi akotanga iho,3
kiripatea,1
korimako,1
kouka,1
kowhiti,1
manaaki,1
mangaia,1
manu aute kite,3
manu nikau,2
maramataka,1
matariki rotorua,2
matariki to me,3
mau rakau,2
mokaraka,1
motutara,1
muriwai matariki,2
naki,1
nga hua o matariki,4
nga tini whetu,3
nga tohu o uenuku,4
ngaromoana raureti,2
ngati haua,2
ngati rangi,2
noome,1
otamatea,1
paimarie,1
pao pao pao,3
poi toa,2
putatara,1
raerino,1
rawiri paratene,2
rewana,1
roopu,1
taane mete,2
taiwhenua,1
taonga whakaari,2
taumata,1
taumata matauranga o ngati whakaue,5
tawiti,1
te aokapurangi,2
te aute,2
te kanikani o te rangatahi,5
te kura kaupapa maori o pukemiro,6
te mahurehure marae,3
te marama,2
te rangi huata,3
te rangikaheke,2
te rangikaheke kiripatea,3
te tahawai marae,3
te taiwhenua o te whanganui a orotu,7
te tau huata,3
te taumata o ngati whakaue iho ake,7
tewake,1
tipare,1
tuatua,1
waka te aurere,3
wananga-a-kai,1
wehipeihana,1
whanganui iwi,2
wiremu mato,2
anaru kaipo,2
kaiako,1
